SimulationStartAt = 2/9/2021 11:54:32 AM
EachLineIsComposedOF:
IndexCounter, PulseCounter, Direction, StopByIndex, StopByBlackBox
2, 0, v, 0, 1
2, 2470, v, 1, 0
2, 0, v, 0, 1
2, 2499, v, 1, 0
2, 0, v, 0, 1
2, 2498, v, 1, 0
2, 0, v, 0, 1
2, 2498, v, 1, 0
2, 0, v, 0, 1
2, 2499, v, 1, 0
2, 0, v, 0, 1
2, 2499, v, 1, 0
2, 0, v, 0, 1
2, 2498, v, 1, 0
2, 0, v, 0, 1
2, 2500, v, 1, 0
2, 0, v, 0, 1
2, 2499, v, 1, 0
2, 0, v, 0, 1
2, 2499, v, 1, 0
2, 0, v, 0, 1
2, 2499, v, 1, 0
2, 0, v, 0, 1
2, 2499, v, 1, 0
2, 0, v, 0, 1
2, 2499, v, 1, 0
2, 0, v, 0, 1
2, 2499, v, 1, 0
2, 0, v, 0, 1
2, 2499, v, 1, 0
2, 0, v, 0, 1
2, 2498, v, 1, 0
2, 0, v, 0, 1
2, 2498, v, 1, 0
2, 0, v, 0, 1
2, 2499, v, 1, 0
2, 0, v, 0, 1
2, 2499, v, 1, 0
2, 0, v, 0, 1
2, 2499, v, 1, 0
2, 0, v, 0, 1
2, 2498, v, 1, 0
2, 0, v, 0, 1
2, 2499, v, 1, 0
2, 0, v, 0, 1
2, 2499, v, 1, 0
2, 0, v, 0, 1
2, 2499, v, 1, 0
2, 0, v, 0, 1
2, 2499, v, 1, 0
2, 0, v, 0, 1
2, 2499, v, 1, 0
2, 0, v, 0, 1
2, 2499, v, 1, 0
2, 0, v, 0, 1
2, 2499, v, 1, 0
2, 0, v, 0, 1
2, 2499, v, 1, 0
2, 0, v, 0, 1
2, 2498, v, 1, 0
2, 0, v, 0, 1
2, 2500, v, 1, 0
2, 0, v, 0, 1
2, 2498, v, 1, 0
2, 0, v, 0, 1
2, 2499, v, 1, 0
2, 0, v, 0, 1
2, 2499, v, 1, 0
2, 0, v, 0, 1
2, 2498, v, 1, 0
2, 0, v, 0, 1
2, 2500, v, 1, 0
2, 0, v, 0, 1
2, 2498, v, 1, 0
2, 0, v, 0, 1
2, 2500, v, 1, 0
2, 0, v, 0, 1
2, 2497, v, 1, 0
2, 0, v, 0, 1
2, 2499, v, 1, 0
2, 0, v, 0, 1
2, 2499, v, 1, 0
2, 0, v, 0, 1
2, 2500, v, 1, 0
2, 2500, v, 1, 0
3, 2484, v, 1, 0
4, 2500, v, 1, 0
5, 2499, v, 1, 0
6, 2499, v, 1, 0
7, 2499, v, 1, 0
8, 2499, v, 1, 0
9, 2499, v, 1, 0
10, 2500, v, 1, 0
11, 2500, v, 1, 0
12, 2500, v, 1, 0
13, 2498, v, 1, 0
14, 2500, v, 1, 0
15, 2500, v, 1, 0
16, 2500, v, 1, 0
17, 2500, v, 1, 0
18, 2500, v, 1, 0
19, 2500, v, 1, 0
20, 2500, v, 1, 0
21, 2500, v, 1, 0
22, 2500, v, 1, 0
23, 2500, v, 1, 0
24, 2500, v, 1, 0
25, 2500, v, 1, 0
26, 2500, v, 1, 0
27, 2500, v, 1, 0
28, 2500, v, 1, 0
29, 2499, v, 1, 0
30, 2500, v, 1, 0
31, 2500, v, 1, 0
32, 2500, v, 1, 0
33, 2500, v, 1, 0
34, 2494, v, 1, 0
35, 2500, v, 1, 0
36, 2498, v, 1, 0
37, 2496, v, 1, 0
38, 2500, v, 1, 0
39, 2500, v, 1, 0
40, 2498, v, 1, 0
41, 2500, v, 1, 0
42, 2499, v, 1, 0
43, 2500, v, 1, 0
44, 2500, v, 1, 0
45, 2500, v, 1, 0
46, 2070, v, 0, 1
46, 429, v, 1, 0
2, 0, v, 0, 1
2, 2500, v, 1, 0
2, 0, v, 0, 1
2, 2499, v, 1, 0
2, 0, v, 0, 1
2, 2500, v, 1, 0
2, 0, v, 0, 1
2, 2499, v, 1, 0
2, 0, v, 0, 1
2, 2499, v, 1, 0
2, 0, v, 0, 1
2, 2500, v, 1, 0
2, 0, v, 0, 1
2, 2499, v, 1, 0
2, 0, v, 0, 1
2, 2499, v, 1, 0
2, 0, v, 0, 1
2, 2499, v, 1, 0
2, 0, v, 0, 1
2, 2499, v, 1, 0
2, 0, v, 0, 1
2, 2500, v, 1, 0
2, 0, v, 0, 1
2, 2499, v, 1, 0
2, 0, v, 0, 1
2, 2498, v, 1, 0
2, 0, v, 0, 1
2, 2499, v, 1, 0
2, 0, v, 0, 1
2, 2499, v, 1, 0
2, 0, v, 0, 1
2, 2499, v, 1, 0
2, 0, v, 0, 1
2, 2499, v, 1, 0
2, 0, v, 0, 1
2, 2499, v, 1, 0
2, 0, v, 0, 1
2, 2499, v, 1, 0
2, 0, v, 0, 1
2, 2499, v, 1, 0
2, 0, v, 0, 1
2, 2498, v, 1, 0
2, 0, v, 0, 1
2, 2499, v, 1, 0
2, 0, v, 0, 1
2, 2499, v, 1, 0
2, 0, v, 0, 1
2, 2499, v, 1, 0
2, 0, v, 0, 1
2, 2499, v, 1, 0
2, 0, v, 0, 1
2, 2500, v, 1, 0
2, 0, ^, 0, 1
2, 2498, ^, 1, 0
2, 0, ^, 0, 1
2, 2499, ^, 1, 0
2, 0, ^, 0, 1
2, 2499, ^, 1, 0
2, 0, ^, 0, 1
2, 2499, ^, 1, 0
