SimulationStartAt = 2/9/2021 10:56:00 AM
EachLineIsComposedOF:
IndexCounter, PulseCounter, Direction, StopByIndex, StopByBlackBox
2, 0, ^, 0, 1
0, 2466, ^, 1, 0
2, 0, ^, 0, 1
0, 2497, ^, 1, 0
2, 0, ^, 0, 1
0, 2497, ^, 1, 0
2, 0, ^, 0, 1
0, 2495, ^, 1, 0
2, 0, ^, 0, 1
0, 2472, ^, 1, 0
2, 0, ^, 0, 1
0, 2496, ^, 1, 0
2, 0, ^, 0, 1
0, 2491, ^, 1, 0
2, 0, ^, 0, 1
0, 2495, ^, 1, 0
2, 0, ^, 0, 1
0, 2497, ^, 1, 0
2, 0, v, 0, 1
0, 2489, v, 1, 0
2, 0, ^, 0, 1
0, 2495, ^, 1, 0
2, 0, ^, 0, 1
0, 2497, ^, 1, 0
2, 0, ^, 0, 1
0, 2497, ^, 1, 0
2, 0, ^, 0, 1
0, 2497, ^, 1, 0
2, 0, ^, 0, 1
0, 2497, ^, 1, 0
2, 0, ^, 0, 1
0, 2471, ^, 1, 0
2, 0, ^, 0, 1
0, 2497, ^, 1, 0
2, 0, ^, 0, 1
0, 2497, ^, 1, 0
2, 0, v, 0, 1
0, 2497, v, 1, 0
2, 0, ^, 0, 1
0, 2495, ^, 1, 0
2, 0, ^, 0, 1
0, 2496, ^, 1, 0
2, 0, ^, 0, 1
0, 2500, ^, 1, 0
2, 0, ^, 0, 1
0, 2496, ^, 1, 0
2, 0, ^, 0, 1
0, 2498, ^, 1, 0
2, 0, ^, 0, 1
0, 2498, ^, 1, 0
2, 0, ^, 0, 1
0, 2496, ^, 1, 0
2, 0, ^, 0, 1
0, 2499, ^, 1, 0
2, 0, ^, 0, 1
0, 2496, ^, 1, 0
2, 0, ^, 0, 1
0, 2497, ^, 1, 0
2, 0, ^, 0, 1
0, 2495, ^, 1, 0
2, 0, ^, 0, 1
0, 2498, ^, 1, 0
2, 0, ^, 0, 1
0, 2497, ^, 1, 0
2, 0, ^, 0, 1
0, 2497, ^, 1, 0
2, 0, ^, 0, 1
0, 2496, ^, 1, 0
2, 0, ^, 0, 1
0, 2497, ^, 1, 0
2, 0, ^, 0, 1
0, 2495, ^, 1, 0
2, 0, ^, 0, 1
0, 2497, ^, 1, 0
2, 0, ^, 0, 1
0, 2498, ^, 1, 0
2, 0, ^, 0, 1
0, 2500, ^, 1, 0
2, 0, ^, 0, 1
0, 2498, ^, 1, 0
2, 0, ^, 0, 1
0, 2497, ^, 1, 0
2, 0, ^, 0, 1
0, 2498, ^, 1, 0
2, 0, ^, 0, 1
0, 2496, ^, 1, 0
2, 0, ^, 0, 1
0, 2498, ^, 1, 0
2, 0, ^, 0, 1
0, 2498, ^, 1, 0
2, 0, ^, 0, 1
0, 2498, ^, 1, 0
2, 0, ^, 0, 1
0, 2497, ^, 1, 0
2, 0, ^, 0, 1
0, 2497, ^, 1, 0
2, 0, ^, 0, 1
0, 2495, ^, 1, 0
2, 0, ^, 0, 1
0, 2497, ^, 1, 0
2, 0, ^, 0, 1
0, 2498, ^, 1, 0
2, 0, ^, 0, 1
0, 2498, ^, 1, 0
2, 0, ^, 0, 1
0, 2497, ^, 1, 0
2, 0, ^, 0, 1
0, 2497, ^, 1, 0
2, 0, ^, 0, 1
0, 2497, ^, 1, 0
2, 0, ^, 0, 1
0, 2497, ^, 1, 0
2, 0, ^, 0, 1
0, 2498, ^, 1, 0
2, 0, ^, 0, 1
0, 2497, ^, 1, 0
2, 0, ^, 0, 1
0, 2497, ^, 1, 0
2, 0, ^, 0, 1
0, 2497, ^, 1, 0
2, 0, ^, 0, 1
0, 2498, ^, 1, 0
2, 0, ^, 0, 1
0, 2498, ^, 1, 0
2, 0, ^, 0, 1
0, 2498, ^, 1, 0
2, 0, ^, 0, 1
0, 2499, ^, 1, 0
2, 0, ^, 0, 1
0, 2499, ^, 1, 0
2, 0, ^, 0, 1
0, 2497, ^, 1, 0
2, 0, ^, 0, 1
0, 2498, ^, 1, 0
2, 0, ^, 0, 1
0, 2500, ^, 1, 0
2, 0, ^, 0, 1
0, 2498, ^, 1, 0
2, 0, ^, 0, 1
0, 2498, ^, 1, 0
2, 0, ^, 0, 1
0, 2499, ^, 1, 0
2, 0, ^, 0, 1
0, 2498, ^, 1, 0
2, 0, ^, 0, 1
0, 2498, ^, 1, 0
2, 0, ^, 0, 1
0, 2498, ^, 1, 0
2, 0, ^, 0, 1
0, 2499, ^, 1, 0
2, 0, ^, 0, 1
0, 2498, ^, 1, 0
2, 0, v, 0, 1
0, 2499, v, 1, 0
2, 0, ^, 0, 1
0, 2500, ^, 1, 0
2, 0, ^, 0, 1
0, 2499, ^, 1, 0
2, 0, ^, 0, 1
0, 2499, ^, 1, 0
2, 0, ^, 0, 1
0, 2499, ^, 1, 0
2, 0, ^, 0, 1
0, 2498, ^, 1, 0
2, 0, ^, 0, 1
0, 2499, ^, 1, 0
2, 0, ^, 0, 1
0, 2499, ^, 1, 0
2, 0, ^, 0, 1
0, 2499, ^, 1, 0
2, 0, ^, 0, 1
0, 2499, ^, 1, 0
2, 0, ^, 0, 1
0, 2497, ^, 1, 0
2, 0, ^, 0, 1
0, 2498, ^, 1, 0
2, 0, ^, 0, 1
0, 2499, ^, 1, 0
2, 0, ^, 0, 1
0, 2500, ^, 1, 0
2, 0, ^, 0, 1
0, 2499, ^, 1, 0
2, 0, ^, 0, 1
0, 2499, ^, 1, 0
2, 0, ^, 0, 1
0, 2499, ^, 1, 0
2, 0, ^, 0, 1
0, 2500, ^, 1, 0
2, 0, v, 0, 1
0, 2499, v, 1, 0
2, 0, v, 0, 1
0, 2498, v, 1, 0
2, 0, ^, 0, 1
0, 2499, ^, 1, 0
2, 0, ^, 0, 1
0, 2499, ^, 1, 0
2, 0, ^, 0, 1
0, 2498, ^, 1, 0
2, 0, ^, 0, 1
0, 2500, ^, 1, 0
2, 0, ^, 0, 1
0, 2499, ^, 1, 0
2, 0, ^, 0, 1
0, 2498, ^, 1, 0
2, 0, ^, 0, 1
0, 2499, ^, 1, 0
2, 0, ^, 0, 1
0, 2499, ^, 1, 0
2, 0, ^, 0, 1
0, 2500, ^, 1, 0
2, 0, ^, 0, 1
0, 2499, ^, 1, 0
2, 0, ^, 0, 1
0, 2499, ^, 1, 0
2, 0, ^, 0, 1
0, 2499, ^, 1, 0
2, 0, ^, 0, 1
0, 2499, ^, 1, 0
2, 0, ^, 0, 1
0, 2498, ^, 1, 0
2, 0, ^, 0, 1
0, 2499, ^, 1, 0
2, 0, ^, 0, 1
0, 2499, ^, 1, 0
2, 0, ^, 0, 1
0, 2498, ^, 1, 0
2, 0, ^, 0, 1
0, 2500, ^, 1, 0
2, 0, ^, 0, 1
0, 2500, ^, 1, 0
2, 0, ^, 0, 1
0, 2498, ^, 1, 0
2, 0, ^, 0, 1
0, 2499, ^, 1, 0
2, 0, ^, 0, 1
0, 2499, ^, 1, 0
2, 0, ^, 0, 1
0, 2499, ^, 1, 0
2, 0, ^, 0, 1
0, 2499, ^, 1, 0
2, 0, ^, 0, 1
0, 2499, ^, 1, 0
2, 0, ^, 0, 1
0, 2499, ^, 1, 0
2, 0, v, 0, 1
0, 2499, v, 1, 0
2, 0, ^, 0, 1
0, 2497, ^, 1, 0
2, 0, ^, 0, 1
0, 2499, ^, 1, 0
2, 0, ^, 0, 1
0, 2499, ^, 1, 0
2, 0, ^, 0, 1
0, 2500, ^, 1, 0
2, 0, ^, 0, 1
0, 2499, ^, 1, 0
2, 0, ^, 0, 1
0, 2500, ^, 1, 0
2, 0, ^, 0, 1
0, 2499, ^, 1, 0
2, 0, ^, 0, 1
0, 2499, ^, 1, 0
2, 0, ^, 0, 1
0, 2499, ^, 1, 0
2, 0, ^, 0, 1
0, 2499, ^, 1, 0
2, 0, ^, 0, 1
0, 2499, ^, 1, 0
2, 0, ^, 0, 1
0, 2499, ^, 1, 0
2, 0, ^, 0, 1
0, 2499, ^, 1, 0
2, 0, ^, 0, 1
0, 2499, ^, 1, 0
2, 0, ^, 0, 1
0, 2499, ^, 1, 0
2, 0, ^, 0, 1
0, 2499, ^, 1, 0
2, 0, ^, 0, 1
0, 2499, ^, 1, 0
2, 0, ^, 0, 1
0, 2499, ^, 1, 0
2, 0, ^, 0, 1
0, 2498, ^, 1, 0
2, 0, ^, 0, 1
0, 2500, ^, 1, 0
2, 0, ^, 0, 1
0, 2499, ^, 1, 0
2, 0, ^, 0, 1
0, 2498, ^, 1, 0
2, 0, v, 0, 1
0, 2500, v, 1, 0
2, 2500, ^, 1, 0
4, 2499, ^, 1, 0
6, 2500, ^, 1, 0
8, 0, ^, 0, 1
0, 2498, ^, 1, 0
2, 0, ^, 0, 1
0, 2501, ^, 1, 0
2, 2500, ^, 1, 0
4, 2501, ^, 1, 0
6, 2500, ^, 1, 0
8, 2500, ^, 1, 0
10, 2500, ^, 1, 0
12, 2499, ^, 1, 0
14, 2500, ^, 1, 0
16, 0, ^, 0, 1
0, 2497, ^, 1, 0
2, 0, ^, 0, 1
0, 2499, ^, 1, 0
2, 0, ^, 0, 1
0, 2499, ^, 1, 0
2, 0, ^, 0, 1
0, 2500, ^, 1, 0
2, 0, ^, 0, 1
0, 2499, ^, 1, 0
2, 0, ^, 0, 1
0, 2498, ^, 1, 0
2, 0, ^, 0, 1
0, 2498, ^, 1, 0
2, 0, ^, 0, 1
0, 2480, ^, 1, 0
2, 0, v, 0, 1
0, 2500, v, 1, 0
2, 0, ^, 0, 1
0, 2499, ^, 1, 0
2, 0, ^, 0, 1
0, 2498, ^, 1, 0
2, 0, ^, 0, 1
0, 2499, ^, 1, 0
2, 0, ^, 0, 1
0, 2499, ^, 1, 0
2, 0, ^, 0, 1
0, 2500, ^, 1, 0
2, 0, ^, 0, 1
0, 2499, ^, 1, 0
2, 0, ^, 0, 1
0, 2498, ^, 1, 0
2, 0, ^, 0, 1
0, 2498, ^, 1, 0
2, 0, ^, 0, 1
0, 2499, ^, 1, 0
2, 0, ^, 0, 1
0, 2500, ^, 1, 0
2, 0, ^, 0, 1
0, 2499, ^, 1, 0
2, 0, ^, 0, 1
0, 2499, ^, 1, 0
SimulationTestEndedAt = 20210209_105652
