SimulationStartAt = 2/9/2021 10:16:11 AM
EachLineIsComposedOF:
IndexCounter, PulseCounter, Direction, StopByIndex, StopByBlackBox
2, 0, ^, 0, 1
3, 2462, ^, 1, 0
5, 0, ^, 0, 1
6, 2492, ^, 1, 0
8, 0, ^, 0, 1
9, 2494, ^, 1, 0
11, 0, ^, 0, 1
12, 2497, ^, 1, 0
14, 0, ^, 0, 1
15, 2498, ^, 1, 0
17, 0, ^, 0, 1
18, 2495, ^, 1, 0
20, 0, ^, 0, 1
21, 2495, ^, 1, 0
23, 0, ^, 0, 1
24, 2497, ^, 1, 0
26, 0, ^, 0, 1
27, 2496, ^, 1, 0
29, 0, ^, 0, 1
30, 2495, ^, 1, 0
32, 0, ^, 0, 1
33, 2497, ^, 1, 0
35, 0, ^, 0, 1
36, 2497, ^, 1, 0
38, 0, ^, 0, 1
39, 2498, ^, 1, 0
41, 0, ^, 0, 1
42, 2494, ^, 1, 0
44, 0, ^, 0, 1
45, 2498, ^, 1, 0
47, 0, ^, 0, 1
48, 2489, ^, 1, 0
50, 0, ^, 0, 1
51, 2498, ^, 1, 0
53, 0, ^, 0, 1
54, 2496, ^, 1, 0
56, 0, ^, 0, 1
57, 2497, ^, 1, 0
59, 0, ^, 0, 1
60, 2498, ^, 1, 0
62, 0, ^, 0, 1
63, 2497, ^, 1, 0
65, 0, ^, 0, 1
66, 2498, ^, 1, 0
68, 0, ^, 0, 1
69, 2497, ^, 1, 0
71, 0, ^, 0, 1
72, 2499, ^, 1, 0
74, 0, ^, 0, 1
75, 2496, ^, 1, 0
77, 0, ^, 0, 1
78, 2496, ^, 1, 0
80, 0, ^, 0, 1
81, 2498, ^, 1, 0
83, 0, ^, 0, 1
84, 2281, ^, 1, 0
86, 0, ^, 0, 1
87, 2499, ^, 1, 0
89, 0, ^, 0, 1
90, 2494, ^, 1, 0
92, 0, ^, 0, 1
93, 2498, ^, 1, 0
95, 0, ^, 0, 1
96, 2499, ^, 1, 0
98, 0, ^, 0, 1
99, 2498, ^, 1, 0
101, 0, ^, 0, 1
102, 2498, ^, 1, 0
104, 0, ^, 0, 1
105, 2498, ^, 1, 0
107, 0, ^, 0, 1
108, 2499, ^, 1, 0
110, 0, ^, 0, 1
111, 2498, ^, 1, 0
113, 0, ^, 0, 1
114, 2500, ^, 1, 0
116, 0, ^, 0, 1
117, 2499, ^, 1, 0
119, 0, ^, 0, 1
120, 2499, ^, 1, 0
122, 0, ^, 0, 1
123, 2499, ^, 1, 0
125, 0, ^, 0, 1
126, 2498, ^, 1, 0
128, 0, ^, 0, 1
129, 2500, ^, 1, 0
131, 0, ^, 0, 1
132, 2500, ^, 1, 0
134, 0, ^, 0, 1
135, 2498, ^, 1, 0
137, 0, ^, 0, 1
138, 2498, ^, 1, 0
140, 0, ^, 0, 1
141, 2498, ^, 1, 0
143, 0, ^, 0, 1
144, 2498, ^, 1, 0
146, 0, ^, 0, 1
147, 2499, ^, 1, 0
149, 0, ^, 0, 1
150, 2499, ^, 1, 0
152, 0, ^, 0, 1
153, 2500, ^, 1, 0
155, 0, ^, 0, 1
156, 2499, ^, 1, 0
158, 0, ^, 0, 1
159, 2499, ^, 1, 0
161, 0, ^, 0, 1
162, 2498, ^, 1, 0
164, 0, ^, 0, 1
165, 2499, ^, 1, 0
167, 0, ^, 0, 1
168, 2498, ^, 1, 0
170, 0, ^, 0, 1
171, 2498, ^, 1, 0
173, 0, ^, 0, 1
174, 2497, ^, 1, 0
176, 0, ^, 0, 1
177, 2500, ^, 1, 0
179, 0, ^, 0, 1
180, 2498, ^, 1, 0
182, 0, ^, 0, 1
183, 2498, ^, 1, 0
185, 0, ^, 0, 1
186, 2500, ^, 1, 0
188, 0, ^, 0, 1
189, 2499, ^, 1, 0
191, 0, ^, 0, 1
192, 2499, ^, 1, 0
194, 0, ^, 0, 1
195, 2497, ^, 1, 0
197, 0, ^, 0, 1
198, 2500, ^, 1, 0
200, 0, ^, 0, 1
201, 2499, ^, 1, 0
203, 0, ^, 0, 1
204, 2498, ^, 1, 0
206, 0, ^, 0, 1
207, 2499, ^, 1, 0
209, 0, ^, 0, 1
210, 2497, ^, 1, 0
212, 0, ^, 0, 1
213, 2498, ^, 1, 0
215, 0, ^, 0, 1
216, 2499, ^, 1, 0
218, 0, ^, 0, 1
219, 2500, ^, 1, 0
221, 0, ^, 0, 1
222, 2499, ^, 1, 0
224, 0, ^, 0, 1
225, 2498, ^, 1, 0
227, 0, ^, 0, 1
228, 2497, ^, 1, 0
230, 0, ^, 0, 1
231, 2499, ^, 1, 0
233, 0, ^, 0, 1
234, 2499, ^, 1, 0
236, 0, ^, 0, 1
237, 2498, ^, 1, 0
239, 0, ^, 0, 1
240, 2500, ^, 1, 0
242, 0, ^, 0, 1
243, 2499, ^, 1, 0
245, 0, ^, 0, 1
