SimulationStartAt = 2/9/2021 11:34:42 AM
EachLineIsComposedOF:
IndexCounter, PulseCounter, Direction, StopByIndex, StopByBlackBox
2, 2497, ^, 1, 0
3, 2473, ^, 1, 0
4, 2496, ^, 1, 0
5, 2496, ^, 1, 0
6, 2493, ^, 1, 0
7, 2498, ^, 1, 0
8, 2498, ^, 1, 0
9, 2497, ^, 1, 0
10, 2497, ^, 1, 0
11, 2498, ^, 1, 0
12, 2496, ^, 1, 0
13, 2496, ^, 1, 0
14, 2498, ^, 1, 0
15, 2495, ^, 1, 0
16, 2494, ^, 1, 0
17, 2497, ^, 1, 0
18, 2499, ^, 1, 0
19, 2498, ^, 1, 0
20, 2498, ^, 1, 0
21, 2498, ^, 1, 0
22, 2496, ^, 1, 0
23, 2497, ^, 1, 0
24, 2497, ^, 1, 0
25, 2498, ^, 1, 0
26, 2498, ^, 1, 0
27, 2499, ^, 1, 0
28, 2485, ^, 1, 0
29, 2496, ^, 1, 0
30, 2498, ^, 1, 0
31, 2499, ^, 1, 0
32, 2498, ^, 1, 0
33, 2499, ^, 1, 0
34, 2500, ^, 1, 0
35, 2491, ^, 1, 0
36, 2499, ^, 1, 0
37, 2499, ^, 1, 0
38, 2498, ^, 1, 0
39, 2499, ^, 1, 0
40, 2498, ^, 1, 0
41, 2497, ^, 1, 0
42, 2498, ^, 1, 0
43, 2497, ^, 1, 0
44, 2498, ^, 1, 0
45, 2499, ^, 1, 0
46, 2498, ^, 1, 0
47, 2496, ^, 1, 0
48, 2497, ^, 1, 0
49, 2500, ^, 1, 0
50, 2498, ^, 1, 0
51, 2499, ^, 1, 0
52, 2499, ^, 1, 0
53, 2323, ^, 1, 0
54, 2493, ^, 1, 0
55, 2489, ^, 1, 0
56, 2498, ^, 1, 0
57, 2499, ^, 1, 0
58, 2498, ^, 1, 0
59, 2499, ^, 1, 0
60, 2499, ^, 1, 0
61, 2498, ^, 1, 0
62, 2498, ^, 1, 0
63, 2499, ^, 1, 0
64, 2498, ^, 1, 0
65, 2500, ^, 1, 0
66, 2498, ^, 1, 0
67, 2499, ^, 1, 0
68, 2499, ^, 1, 0
69, 2498, ^, 1, 0
70, 2499, ^, 1, 0
71, 2499, ^, 1, 0
72, 2499, ^, 1, 0
73, 2497, ^, 1, 0
74, 2499, ^, 1, 0
75, 110, ^, 0, 1
75, 2363, ^, 1, 0
2, 2498, ^, 1, 0
3, 2500, ^, 1, 0
4, 2499, ^, 1, 0
5, 2498, ^, 1, 0
6, 2498, ^, 1, 0
7, 2499, ^, 1, 0
8, 2499, ^, 1, 0
9, 2499, ^, 1, 0
10, 2498, ^, 1, 0
11, 2499, ^, 1, 0
12, 2498, ^, 1, 0
13, 2498, ^, 1, 0
14, 2499, ^, 1, 0
15, 2498, ^, 1, 0
16, 2499, ^, 1, 0
17, 2499, ^, 1, 0
18, 2499, ^, 1, 0
19, 170, ^, 0, 1
19, 2329, ^, 1, 0
2, 2499, ^, 1, 0
3, 2498, ^, 1, 0
4, 2498, ^, 1, 0
5, 2499, ^, 1, 0
6, 2498, ^, 1, 0
7, 2498, ^, 1, 0
8, 2498, ^, 1, 0
9, 2498, ^, 1, 0
10, 2498, ^, 1, 0
11, 2497, ^, 1, 0
12, 2499, ^, 1, 0
13, 2498, ^, 1, 0
14, 2498, ^, 1, 0
15, 2498, ^, 1, 0
16, 2499, ^, 1, 0
17, 2421, ^, 1, 0
18, 2499, ^, 1, 0
19, 2499, ^, 1, 0
20, 2499, ^, 1, 0
21, 2499, ^, 1, 0
22, 2499, ^, 1, 0
23, 2496, ^, 1, 0
24, 2498, ^, 1, 0
25, 2497, ^, 1, 0
26, 2499, ^, 1, 0
27, 2499, ^, 1, 0
28, 2499, ^, 1, 0
29, 2499, ^, 1, 0
30, 2499, ^, 1, 0
31, 2499, ^, 1, 0
32, 2498, ^, 1, 0
33, 2499, ^, 1, 0
34, 2498, ^, 1, 0
35, 2499, ^, 1, 0
36, 2498, ^, 1, 0
37, 2499, ^, 1, 0
38, 2498, ^, 1, 0
39, 2498, ^, 1, 0
40, 2498, ^, 1, 0
41, 2499, ^, 1, 0
42, 2499, ^, 1, 0
43, 2498, ^, 1, 0
44, 2499, ^, 1, 0
45, 2499, ^, 1, 0
46, 2499, ^, 1, 0
47, 2498, ^, 1, 0
48, 2498, ^, 1, 0
49, 2498, ^, 1, 0
50, 2499, ^, 1, 0
51, 2497, ^, 1, 0
52, 2499, ^, 1, 0
53, 2495, ^, 1, 0
54, 2498, ^, 1, 0
55, 2499, ^, 1, 0
56, 2498, ^, 1, 0
57, 2499, ^, 1, 0
58, 2498, ^, 1, 0
59, 2499, ^, 1, 0
60, 2500, ^, 1, 0
61, 2499, ^, 1, 0
62, 2498, ^, 1, 0
63, 2499, ^, 1, 0
64, 2499, ^, 1, 0
65, 2499, ^, 1, 0
66, 2499, ^, 1, 0
67, 2498, ^, 1, 0
68, 2499, ^, 1, 0
69, 2499, ^, 1, 0
70, 2498, ^, 1, 0
71, 2499, ^, 1, 0
72, 2499, ^, 1, 0
73, 2490, ^, 1, 0
74, 2499, ^, 1, 0
75, 2499, ^, 1, 0
76, 2500, ^, 1, 0
77, 2499, ^, 1, 0
78, 2499, ^, 1, 0
79, 2498, ^, 1, 0
80, 2499, ^, 1, 0
81, 2498, ^, 1, 0
82, 2498, ^, 1, 0
83, 2499, ^, 1, 0
84, 2499, ^, 1, 0
85, 2498, ^, 1, 0
86, 2499, ^, 1, 0
87, 2498, ^, 1, 0
88, 2499, ^, 1, 0
89, 2499, ^, 1, 0
90, 2498, ^, 1, 0
91, 2500, ^, 1, 0
92, 2500, ^, 1, 0
93, 2500, ^, 1, 0
94, 2500, ^, 1, 0
95, 2499, ^, 1, 0
96, 2500, ^, 1, 0
97, 2500, ^, 1, 0
98, 2500, ^, 1, 0
99, 2500, ^, 1, 0
100, 2500, ^, 1, 0
101, 2499, ^, 1, 0
102, 2500, ^, 1, 0
103, 2499, ^, 1, 0
104, 2500, ^, 1, 0
105, 2500, ^, 1, 0
106, 707, ^, 0, 1
106, 1792, ^, 1, 0
2, 2499, ^, 1, 0
3, 2499, ^, 1, 0
4, 2500, ^, 1, 0
5, 2500, ^, 1, 0
6, 2500, ^, 1, 0
7, 2500, ^, 1, 0
8, 2500, ^, 1, 0
9, 2500, ^, 1, 0
10, 2500, ^, 1, 0
11, 2500, ^, 1, 0
12, 2500, ^, 1, 0
13, 2499, ^, 1, 0
14, 2500, ^, 1, 0
15, 2500, ^, 1, 0
16, 2499, ^, 1, 0
17, 2500, ^, 1, 0
18, 806, ^, 0, 1
18, 1692, ^, 1, 0
2, 2499, ^, 1, 0
3, 2499, ^, 1, 0
4, 2500, ^, 1, 0
5, 2500, ^, 1, 0
6, 2500, ^, 1, 0
7, 2488, ^, 1, 0
8, 2500, ^, 1, 0
9, 2499, ^, 1, 0
