SimulationStartAt = 2/9/2021 11:59:30 AM
EachLineIsComposedOF:
IndexCounter, PulseCounter, Direction, StopByIndex, StopByBlackBox
64, 2499, ^, 1, 0
65, 2499, ^, 1, 0
66, 2499, ^, 1, 0
67, 2485, ^, 1, 0
68, 2498, ^, 1, 0
69, 2499, ^, 1, 0
70, 2499, ^, 1, 0
71, 2500, ^, 1, 0
72, 2500, ^, 1, 0
73, 2500, ^, 1, 0
74, 2500, ^, 1, 0
75, 2500, ^, 1, 0
76, 2499, ^, 1, 0
77, 2500, ^, 1, 0
78, 2500, ^, 1, 0
79, 2500, ^, 1, 0
80, 2500, ^, 1, 0
81, 2501, ^, 1, 0
82, 2500, ^, 1, 0
83, 2498, ^, 1, 0
84, 2500, ^, 1, 0
85, 2499, ^, 1, 0
86, 2500, ^, 1, 0
87, 2500, ^, 1, 0
88, 2500, ^, 1, 0
89, 2499, ^, 1, 0
90, 2500, ^, 1, 0
91, 2500, ^, 1, 0
92, 2500, ^, 1, 0
93, 2500, ^, 1, 0
94, 2500, ^, 1, 0
95, 2500, ^, 1, 0
96, 2500, ^, 1, 0
97, 2500, ^, 1, 0
98, 2499, ^, 1, 0
99, 2500, ^, 1, 0
100, 2500, ^, 1, 0
101, 2500, ^, 1, 0
102, 2500, ^, 1, 0
103, 2500, ^, 1, 0
104, 2500, ^, 1, 0
105, 2499, ^, 1, 0
106, 2500, ^, 1, 0
107, 2500, ^, 1, 0
108, 2500, ^, 1, 0
109, 2500, ^, 1, 0
110, 2500, ^, 1, 0
111, 2499, ^, 1, 0
112, 2500, ^, 1, 0
113, 2499, ^, 1, 0
114, 763, ^, 0, 1
114, 1736, ^, 1, 0
2, 2500, v, 1, 0
3, 2499, v, 1, 0
4, 2500, v, 1, 0
5, 2500, v, 1, 0
6, 2500, v, 1, 0
7, 2500, v, 1, 0
8, 2500, v, 1, 0
9, 2500, v, 1, 0
10, 2492, v, 1, 0
11, 2500, v, 1, 0
12, 2500, v, 1, 0
13, 2500, v, 1, 0
14, 2499, v, 1, 0
15, 2499, v, 1, 0
16, 2499, v, 1, 0
17, 2500, v, 1, 0
18, 2499, v, 1, 0
19, 2500, v, 1, 0
20, 2497, v, 1, 0
21, 2500, v, 1, 0
22, 2499, v, 1, 0
23, 2499, v, 1, 0
24, 2499, v, 1, 0
25, 2499, v, 1, 0
26, 2500, v, 1, 0
27, 2499, v, 1, 0
28, 2500, v, 1, 0
29, 2500, v, 1, 0
30, 2499, v, 1, 0
31, 2499, v, 1, 0
32, 2499, v, 1, 0
33, 2499, v, 1, 0
34, 2499, v, 1, 0
35, 2499, v, 1, 0
36, 2498, v, 1, 0
37, 2500, v, 1, 0
38, 2499, v, 1, 0
39, 2499, v, 1, 0
40, 2499, v, 1, 0
41, 2500, v, 1, 0
42, 2499, v, 1, 0
43, 2500, v, 1, 0
44, 2500, v, 1, 0
45, 2499, v, 1, 0
46, 2500, v, 1, 0
47, 2498, v, 1, 0
48, 2500, v, 1, 0
49, 2500, v, 1, 0
50, 2499, v, 1, 0
51, 2500, v, 1, 0
52, 2500, v, 1, 0
53, 2500, v, 1, 0
54, 2500, v, 1, 0
55, 2500, v, 1, 0
56, 2499, v, 1, 0
57, 2500, v, 1, 0
58, 2348, v, 0, 1
58, 152, v, 1, 0
SimulationTestEndedAt = 20210209_120037
