SimulationStartAt = 2/9/2021 10:34:29 AM
EachLineIsComposedOF:
IndexCounter, PulseCounter, Direction, StopByIndex, StopByBlackBox
2, 0, ^, 0, 1
0, 1842, ^, 1, 0
2, 0, ^, 0, 1
0, 2438, ^, 1, 0
2, 0, ^, 0, 1
0, 2496, ^, 1, 0
2, 0, ^, 0, 1
0, 2497, ^, 1, 0
2, 0, ^, 0, 1
0, 2498, ^, 1, 0
2, 0, ^, 0, 1
0, 2497, ^, 1, 0
2, 0, ^, 0, 1
0, 2496, ^, 1, 0
2, 0, ^, 0, 1
0, 2497, ^, 1, 0
2, 0, ^, 0, 1
0, 2496, ^, 1, 0
2, 0, ^, 0, 1
0, 2496, ^, 1, 0
2, 0, ^, 0, 1
0, 2497, ^, 1, 0
2, 0, ^, 0, 1
0, 2492, ^, 1, 0
2, 0, ^, 0, 1
0, 2497, ^, 1, 0
2, 0, ^, 0, 1
0, 2498, ^, 1, 0
2, 0, ^, 0, 1
0, 2497, ^, 1, 0
2, 0, ^, 0, 1
0, 2498, ^, 1, 0
2, 0, ^, 0, 1
0, 2487, ^, 1, 0
2, 0, ^, 0, 1
0, 2498, ^, 1, 0
2, 0, ^, 0, 1
0, 2497, ^, 1, 0
2, 0, ^, 0, 1
0, 2497, ^, 1, 0
2, 0, ^, 0, 1
0, 2500, ^, 1, 0
2, 0, ^, 0, 1
0, 2498, ^, 1, 0
2, 0, ^, 0, 1
0, 2495, ^, 1, 0
2, 0, ^, 0, 1
0, 2497, ^, 1, 0
2, 0, ^, 0, 1
0, 2497, ^, 1, 0
2, 0, ^, 0, 1
0, 2498, ^, 1, 0
2, 0, ^, 0, 1
0, 2497, ^, 1, 0
2, 0, ^, 0, 1
0, 2488, ^, 1, 0
2, 0, ^, 0, 1
0, 2496, ^, 1, 0
2, 0, ^, 0, 1
0, 2497, ^, 1, 0
2, 0, ^, 0, 1
0, 2497, ^, 1, 0
2, 0, ^, 0, 1
0, 2495, ^, 1, 0
2, 0, ^, 0, 1
0, 2497, ^, 1, 0
2, 0, ^, 0, 1
0, 2496, ^, 1, 0
2, 0, ^, 0, 1
0, 2498, ^, 1, 0
2, 0, ^, 0, 1
0, 2498, ^, 1, 0
2, 0, ^, 0, 1
0, 2497, ^, 1, 0
2, 0, ^, 0, 1
0, 2498, ^, 1, 0
2, 0, ^, 0, 1
0, 2497, ^, 1, 0
2, 0, ^, 0, 1
0, 2496, ^, 1, 0
2, 0, ^, 0, 1
0, 2498, ^, 1, 0
2, 0, ^, 0, 1
0, 2498, ^, 1, 0
2, 0, ^, 0, 1
0, 2498, ^, 1, 0
2, 0, ^, 0, 1
0, 2498, ^, 1, 0
2, 0, ^, 0, 1
0, 2498, ^, 1, 0
2, 0, ^, 0, 1
0, 2495, ^, 1, 0
2, 0, ^, 0, 1
0, 2498, ^, 1, 0
2, 0, ^, 0, 1
0, 2497, ^, 1, 0
2, 0, ^, 0, 1
0, 2499, ^, 1, 0
2, 0, ^, 0, 1
0, 2500, ^, 1, 0
2, 0, ^, 0, 1
0, 2497, ^, 1, 0
2, 0, ^, 0, 1
0, 2497, ^, 1, 0
2, 0, ^, 0, 1
0, 2499, ^, 1, 0
2, 0, ^, 0, 1
0, 2497, ^, 1, 0
2, 0, ^, 0, 1
0, 2497, ^, 1, 0
2, 0, ^, 0, 1
0, 2496, ^, 1, 0
2, 0, ^, 0, 1
0, 2500, ^, 1, 0
2, 0, ^, 0, 1
0, 2497, ^, 1, 0
2, 0, ^, 0, 1
0, 2498, ^, 1, 0
2, 0, ^, 0, 1
0, 2498, ^, 1, 0
2, 0, ^, 0, 1
0, 2497, ^, 1, 0
2, 0, ^, 0, 1
0, 2498, ^, 1, 0
2, 0, ^, 0, 1
0, 2496, ^, 1, 0
2, 0, ^, 0, 1
0, 2498, ^, 1, 0
2, 2499, v, 1, 0
4, 2498, ^, 1, 0
6, 2497, ^, 1, 0
8, 2497, ^, 1, 0
10, 2498, ^, 1, 0
12, 2498, ^, 1, 0
14, 2498, ^, 1, 0
16, 2500, ^, 1, 0
18, 2499, ^, 1, 0
20, 2498, ^, 1, 0
