SimulationStartAt = 2/9/2021 1:45:45 PM
EachLineIsComposedOF:
IndexCounter, PulseCounter, Direction, StopByIndex, StopByBlackBox
1, 0, 1, 2500, v
1, 0, 2, 2471, v
1, 0, 3, 2500, v
1, 0, 4, 2500, v
1, 0, 5, 2500, v
1, 0, 6, 2500, v
1, 0, 7, 2500, v
1, 0, 8, 2500, v
0, 1, 9, 789, v
1, 0, 9, 1695, v
1, 0, 1, 2500, ^
1, 0, 2, 2500, ^
1, 0, 3, 2500, ^
1, 0, 4, 2500, ^
1, 0, 5, 2500, ^
1, 0, 6, 2500, ^
1, 0, 7, 2500, ^
1, 0, 8, 2492, ^
1, 0, 9, 2500, ^
1, 0, 10, 2500, ^
1, 0, 11, 2500, ^
1, 0, 12, 2500, ^
1, 0, 13, 2500, ^
1, 0, 14, 2500, ^
1, 0, 15, 2500, ^
1, 0, 16, 2500, ^
1, 0, 17, 2500, ^
1, 0, 18, 2500, ^
1, 0, 19, 2500, ^
1, 0, 20, 2497, ^
1, 0, 21, 2500, ^
1, 0, 22, 2500, ^
1, 0, 23, 2500, ^
1, 0, 24, 2498, ^
1, 0, 25, 2500, ^
1, 0, 26, 2501, ^
1, 0, 27, 2500, ^
1, 0, 28, 2500, ^
1, 0, 29, 2500, ^
1, 0, 30, 2500, ^
1, 0, 31, 2499, ^
1, 0, 32, 2500, ^
1, 0, 33, 2500, ^
1, 0, 34, 2500, ^
1, 0, 35, 2500, ^
1, 0, 36, 2500, ^
1, 0, 37, 2500, ^
1, 0, 38, 2500, ^
1, 0, 39, 2500, ^
1, 0, 40, 2500, ^
1, 0, 41, 2500, ^
1, 0, 42, 2317, ^
1, 0, 43, 2500, ^
1, 0, 44, 2500, ^
1, 0, 45, 2500, ^
1, 0, 46, 2500, ^
1, 0, 47, 2499, ^
1, 0, 48, 2500, ^
1, 0, 49, 2500, ^
1, 0, 50, 2500, ^
1, 0, 51, 2500, ^
1, 0, 52, 2500, ^
1, 0, 53, 2500, ^
1, 0, 54, 2500, ^
1, 0, 55, 2500, ^
1, 0, 56, 2500, ^
1, 0, 57, 2500, ^
1, 0, 58, 2499, ^
1, 0, 59, 2500, ^
1, 0, 60, 2498, ^
1, 0, 61, 2500, ^
1, 0, 62, 2500, ^
1, 0, 63, 2500, ^
1, 0, 64, 2500, ^
1, 0, 65, 2500, ^
1, 0, 66, 2500, ^
1, 0, 67, 2500, ^
1, 0, 68, 2500, ^
1, 0, 69, 2500, ^
1, 0, 70, 2500, ^
1, 0, 71, 2500, ^
1, 0, 72, 2500, ^
1, 0, 73, 2500, ^
1, 0, 74, 2500, ^
1, 0, 75, 2500, ^
1, 0, 76, 2500, ^
1, 0, 77, 2500, ^
1, 0, 78, 2500, ^
1, 0, 79, 2500, ^
1, 0, 80, 2500, ^
1, 0, 81, 2500, ^
1, 0, 82, 2500, ^
1, 0, 83, 2500, ^
1, 0, 84, 2500, ^
1, 0, 85, 2499, ^
1, 0, 86, 2500, ^
1, 0, 87, 2500, ^
1, 0, 88, 2500, ^
1, 0, 89, 2500, ^
1, 0, 90, 2500, ^
1, 0, 91, 2500, ^
1, 0, 92, 2500, ^
0, 1, 93, 1566, ^
1, 0, 93, 926, ^
1, 0, 1, 2500, v
1, 0, 2, 2500, v
1, 0, 3, 2500, v
1, 0, 4, 2500, v
1, 0, 5, 2500, v
1, 0, 6, 2492, v
1, 0, 7, 2500, v
1, 0, 8, 2499, v
1, 0, 9, 2500, v
1, 0, 10, 2500, v
1, 0, 11, 2500, v
1, 0, 12, 2500, v
1, 0, 13, 2500, v
1, 0, 14, 2500, v
1, 0, 15, 2500, v
1, 0, 16, 2500, v
1, 0, 17, 2500, v
1, 0, 18, 2500, v
1, 0, 19, 2500, v
1, 0, 20, 2500, v
1, 0, 21, 2500, v
1, 0, 22, 2500, v
1, 0, 23, 2499, v
1, 0, 24, 2500, v
1, 0, 25, 2500, v
1, 0, 26, 2500, v
1, 0, 27, 2500, v
1, 0, 28, 2500, v
1, 0, 29, 2500, v
1, 0, 30, 2500, v
1, 0, 31, 2500, v
1, 0, 32, 2500, v
1, 0, 33, 2500, v
1, 0, 34, 2500, v
1, 0, 35, 2500, v
1, 0, 36, 2500, v
1, 0, 37, 2500, v
1, 0, 38, 2500, v
1, 0, 39, 2500, v
1, 0, 40, 2500, v
1, 0, 41, 2500, v
1, 0, 42, 2500, v
1, 0, 43, 2500, v
1, 0, 44, 2499, v
1, 0, 45, 2500, v
1, 0, 46, 2500, v
1, 0, 47, 2500, v
1, 0, 48, 2500, v
1, 0, 49, 2500, v
1, 0, 50, 2500, v
1, 0, 51, 2500, v
1, 0, 52, 2500, v
1, 0, 53, 2500, v
1, 0, 54, 2500, v
1, 0, 55, 2499, v
1, 0, 56, 2500, v
1, 0, 57, 2500, v
1, 0, 58, 2500, v
1, 0, 59, 2500, v
1, 0, 60, 2500, v
1, 0, 61, 2500, v
1, 0, 62, 2500, v
1, 0, 63, 2492, v
1, 0, 64, 2500, v
1, 0, 65, 2500, v
1, 0, 66, 2500, v
1, 0, 67, 2500, v
1, 0, 68, 2500, v
1, 0, 69, 2500, v
1, 0, 70, 2500, v
1, 0, 71, 2500, v
1, 0, 72, 2500, v
1, 0, 73, 2500, v
1, 0, 74, 2500, v
0, 1, 75, 1299, v
1, 0, 75, 1201, v
1, 0, 1, 2499, ^
1, 0, 2, 2500, ^
1, 0, 3, 2500, ^
1, 0, 4, 2500, ^
1, 0, 5, 2500, ^
1, 0, 6, 2500, ^
1, 0, 7, 2500, ^
1, 0, 8, 2500, ^
1, 0, 9, 2500, ^
1, 0, 10, 2500, ^
1, 0, 11, 2500, ^
1, 0, 12, 2500, ^
1, 0, 13, 2500, ^
1, 0, 14, 2500, ^
1, 0, 15, 2500, ^
0, 1, 16, 2396, ^
1, 0, 16, 98, ^
1, 0, 1, 2500, v
1, 0, 2, 2500, v
1, 0, 3, 2500, v
1, 0, 4, 2500, v
1, 0, 5, 2500, v
1, 0, 6, 2500, v
1, 0, 7, 2500, v
1, 0, 8, 2500, v
1, 0, 9, 2500, v
1, 0, 10, 2500, v
1, 0, 11, 2500, v
1, 0, 12, 2500, v
1, 0, 13, 2500, v
1, 0, 14, 2500, v
1, 0, 15, 2500, v
1, 0, 16, 2500, v
1, 0, 17, 2500, v
1, 0, 18, 2500, v
1, 0, 19, 2500, v
1, 0, 20, 2500, v
1, 0, 21, 2500, v
1, 0, 22, 2500, v
1, 0, 23, 2500, v
1, 0, 24, 2500, v
1, 0, 25, 2500, v
1, 0, 26, 2500, v
1, 0, 27, 2500, v
1, 0, 28, 2491, v
1, 0, 29, 2500, v
1, 0, 30, 2500, v
1, 0, 31, 2500, v
1, 0, 32, 2500, v
1, 0, 33, 2500, v
1, 0, 34, 2500, v
1, 0, 35, 2500, v
1, 0, 36, 2500, v
1, 0, 37, 2499, v
1, 0, 38, 2500, v
1, 0, 39, 2500, v
1, 0, 40, 2500, v
1, 0, 41, 2500, v
1, 0, 42, 2500, v
1, 0, 43, 2500, v
1, 0, 44, 2500, v
1, 0, 45, 2500, v
1, 0, 46, 2500, v
1, 0, 47, 2500, v
1, 0, 48, 2500, v
1, 0, 49, 2500, v
1, 0, 50, 2500, v
1, 0, 51, 2500, v
1, 0, 52, 2500, v
1, 0, 53, 2500, v
1, 0, 54, 2500, v
1, 0, 55, 2500, v
1, 0, 56, 2500, v
1, 0, 57, 2500, v
1, 0, 58, 2500, v
1, 0, 59, 2500, v
1, 0, 60, 2500, v
1, 0, 61, 2500, v
1, 0, 62, 2500, v
1, 0, 63, 2500, v
1, 0, 64, 2500, v
1, 0, 65, 2500, v
1, 0, 66, 2500, v
1, 0, 67, 2500, v
1, 0, 68, 2500, v
1, 0, 69, 2500, v
1, 0, 70, 2500, v
1, 0, 71, 2500, v
1, 0, 72, 2500, v
1, 0, 73, 2500, v
1, 0, 74, 2500, v
1, 0, 75, 2500, v
1, 0, 76, 2500, v
1, 0, 77, 2499, v
1, 0, 78, 2500, v
1, 0, 79, 2500, v
1, 0, 80, 2500, v
1, 0, 81, 2500, v
1, 0, 82, 2500, v
1, 0, 83, 2500, v
1, 0, 84, 2500, v
1, 0, 85, 2491, v
1, 0, 86, 2500, v
1, 0, 87, 2500, v
1, 0, 88, 2500, v
1, 0, 89, 2500, v
1, 0, 90, 2500, v
1, 0, 91, 2500, v
1, 0, 92, 2500, v
1, 0, 93, 2500, v
1, 0, 94, 2500, v
1, 0, 95, 2500, v
1, 0, 96, 2500, v
1, 0, 97, 2500, v
1, 0, 98, 2500, v
1, 0, 99, 2500, v
1, 0, 100, 2500, v
1, 0, 101, 2500, v
1, 0, 102, 2500, v
1, 0, 103, 2500, v
1, 0, 104, 2500, v
1, 0, 105, 2500, v
1, 0, 106, 2500, v
1, 0, 107, 2499, v
1, 0, 108, 2500, v
1, 0, 109, 2500, v
1, 0, 110, 2500, v
1, 0, 111, 2500, v
1, 0, 112, 2500, v
1, 0, 113, 2500, v
1, 0, 114, 2500, v
0, 1, 115, 168, v
1, 0, 115, 2332, v
SimulationTestEndedAt = 20210209_134659
